text,time,self-determination,home,body,spiritual dimension,life events,historical events,family,childhood and adolescence,aging,meloncholy,self-performance,politics,relation with men,relation with the natural world,relation with reality,relation with women,writing,feelings and moods,profession of the actress
"You cannot touch the pulse to this sick [the Italian theater] without interrogating those who have shown that they know with dignity and consciousness to exercise this troubled art, which will ever have rest, which will never touch a goal, because just one has reached it , another arises different to conquer. So, for us, our life will always be a poor thing even if to the other splendid pairs. A life, which if it is made up of many lives and gives the joy and torment of living them all, tomorrow is nothing more.",0.04810238583013415,0.27223822474479675,0.16844366490840912,0.23243002593517303,0.4255727529525757,0.6539894938468933,0.3943929374217987,0.13943934440612793,0.15974673628807068,0.5994482040405273,0.5214762687683105,0.4158313274383545,0.0676015093922615,0.17850200831890106,0.21015363931655884,0.4569951593875885,0.16645748913288116,0.23822934925556183,0.3277389407157898,0.2337397336959839
"I was fourteen, when I introduced myself to the Secretariat of the Academy of the Teatro dei Filodrammatici, to be admitted to the diction and acting courses of our school in Milan. But I had to go back, disappointed and sad, after a kind but firm denial having not yet reached the age prescribed by the regulations for admission (sixteen years). The following year, as if I had already reached that age, with the firmer face, I still knock on that door; And, in the face of so much good and passionate will, here is the first tear to the regulations, dates, principles, customs. [...]",0.04810238583013415,0.4201655089855194,0.2754192352294922,0.36347687244415283,0.32030826807022095,0.3362055718898773,0.5658913254737854,0.18296153843402863,0.3934299051761627,0.35680094361305237,0.47924113273620605,0.3451586961746216,0.078302301466465,0.3805984854698181,0.19322095811367035,0.5638352036476135,0.23842498660087585,0.3287414610385895,0.3099553883075714,0.6461310386657715
"[The Academy] was like my second and most true home [...] Ophelia Mazzoni lent with an enchantment, I would like to say authoritarian, his teaching; [...] The joy of my first conquest was his judgment [...]. Here in the second year, replace her, Enrico Reinach: good, paternal, elegant. I knew how to find the two veins in me: the dramatic vein and the comic vein; Therefore, I was among its students the only one to which two scenes were entrusted to each essay, a dramatic and a comedian.",0.04810238583013415,0.13481438159942627,0.4962144196033478,0.13745340704917908,0.1325221210718155,0.14548256993293762,0.16080400347709656,0.10208558291196823,0.09579585492610931,0.17922909557819366,0.1779176890850067,0.13769668340682983,0.026894040405750275,0.12262734025716782,0.08131003379821777,0.19943122565746307,0.06814950704574585,0.19175754487514496,0.20497456192970276,0.09288669377565384
"Among the memories of the Academy I cannot between leaving the greatest: the fortune of having had among the spectators, to one of the essays, Eleonora Duse. I didn't even have the good to see her in the face. [...] I had the meaning of his physical presence only when Enrico Reinach, at the end of the essay, told me radiant to have had the hottest congratulations from her for ""her student"".",0.04810238583013415,0.21241022646427155,0.13617384433746338,0.18915587663650513,0.26333197951316833,0.31048768758773804,0.31913676857948303,0.10658550262451172,0.10936588048934937,0.30692166090011597,0.1945987045764923,0.28292691707611084,0.035674791783094406,0.37164974212646484,0.13944469392299652,0.391061007976532,0.27165207266807556,0.3029448688030243,0.5341589450836182,0.22470009326934814
"His [by Enrico Reinach] teaching of two years had tightened our knowledge, devoted on my and friendly even towards my relatives on his part. So imagine my surprise, when I learned that my parents had not recommended my entry in art. A flame of anger climbed me to the forehead; A betrayal seemed to me. But he, with his old comedian experience, caressing my cheek with his beautiful hand jagged the little finger: ""Dear, the theater, it is better to see it from the armchair"". He already knew me engaged, and it was grateful to him to see me in the care of a house, rather than among the uncertainties and instability of a stage. [...] The family gripped the brakes more and more, forbidden to participate in any act [...] I also offended the possibility of entering Italian cinematography, [...] but you don't even dare to speak to my parents, although I felt attracted to me by This new and prestigious art form. I was looking forward to becoming of age to declare my aspiration. But the moment was also first [...] with the interest [...] of Sabatino Lopez, who then presided over the shows of the Teatro del Popolo in Milan. He convinced with his authority my parents that being stable theater based in the same city I could be an actress not moving away from home.",0.04810238583013415,0.25324004888534546,0.23061437904834747,0.2518642246723175,0.2927607595920563,0.2901367247104645,0.3097977638244629,0.28095096349716187,0.2522338628768921,0.30106252431869507,0.2961841821670532,0.2885688841342926,0.1767200082540512,0.3069279193878174,0.25222617387771606,0.3453264534473419,0.2898174226284027,0.26894673705101013,0.36339646577835083,0.36876896023750305
"Ettore Paladini, director of the company, [...] looked at us with good eyes and tellers [...], and hard but illuminated in the face [...] by a light of intelligent goodness. My soul tempon to his discipline. Discipline of soldier, of just, of in love with his work. [...] Virgilio Talli I understood it immediately: exuberant of mind for his actors, [...] exuberant of love for the theater. His cries and his outbursts were not afraid of me. [...] And it was an unparalleled master for me. The attention to detail, albeit very small, was never in him at the expense of the general idea of ​​work.",0.04810238583013415,0.17302708327770233,0.08937457948923111,0.10345859825611115,0.1980350911617279,0.10900590568780899,0.11830699443817139,0.05023402348160744,0.10815151780843735,0.23513473570346832,0.1875201016664505,0.17283596098423004,0.020781276747584343,0.15306900441646576,0.12526798248291016,0.2411603182554245,0.0998302698135376,0.14752498269081116,0.4167845845222473,0.39392074942588806
"Sound by Marco Prague as one of the few mature actresses for a place of responsibility and pre -eminence, I was predestined to tie my youth [...] trained by the two major masters of the prose scene in Italy, [...] to the most beautiful and sublime Impro that a very young and disinterested spirit had to give to our country and to us actors with its high and human participation. While the Duse, around the world, blessed this company, here is that Luigi Pirandello, affected by the criticism of Marco Prague, writes to Talli for me. Following Talli's response, here in Milan a Pirandello place with the precise assignment of writing me first actress. Our first understanding took place like this: without being seen there or being spoken of us.",0.04810238583013415,0.23491936922073364,0.23759382963180542,0.3090249300003052,0.39637336134910583,0.29854658246040344,0.3730710744857788,0.15443584322929382,0.2769160866737366,0.24898391962051392,0.17816244065761566,0.20239321887493134,0.12647756934165955,0.23975133895874023,0.21978627145290375,0.38948920369148254,0.1859998106956482,0.5081136226654053,0.312099426984787,0.5740007162094116
"I arrived in Rome with my mother and immediately ran to the Odescalchi Theater to take my place. The company had already gathered for some time; I [...] I came last. A bald man and with a small pointed beard, in the darkness of the stage, his pale and furrowed face, had jumped up with a portentous agility, in contrast with his appearance, as soon as someone said my name. And a warm and vigorous hand shook mine over and over again, with that cordiality that is only proper to men who know how to give and do good. [...] Curiosity, interest, envy, struggles, had turned on from the beginning; Lotte, I mean, by those who have always been against every noble and disinterested art business in the world of theater. The expectation of my presentation, exacerbated by the delay, was very lively. As with every great enterprise in the first beginning, the first settlement was difficult. [...] It was a triumph. A triumph for Bontempelli, for Luigi Pirandello, for the theater and for me. I cried of consolation and bliss. Never again, afterwards, I had such a full and pure joy.",0.04810238583013415,0.37420356273651123,0.3561084270477295,0.4133807122707367,0.47724321484565735,0.5216388702392578,0.48526376485824585,0.4265002906322479,0.3008365035057068,0.39117878675460815,0.3408682644367218,0.3772260546684265,0.29586803913116455,0.6345096230506897,0.44304004311561584,0.46225643157958984,0.42936697602272034,0.41451922059059143,0.5462008714675903,0.5105810165405273
"Only, helped by the watchful and constant love of my father, I took the reins of the first company ""Marta Abba"" in 1929, all of young people led and directed by me.  [...] I followed to carry around my greatest interpretations of the Pirandellian repertoire. [...] Wise and expert men of the theater [...] cataloged my repertoire as a cerebral and only artistic (i.e. anti antommerial). And the voice had spread to the public. Cerebral Marta Abba and great only in Pirandellian art. [...] And so the year after a second company of my formation, with a repertoire that was increasingly increasing of new interpretations, among which I like to remember above all that of Madame Legros, by Penelope di Maugham, the good fairy of Molnar, of our companion of Antoine, and of Anna Karenina taken from the novel of Tolstoi and the Grillo of the hearth taken from the novel by Dickens.",0.049742743372917175,0.4408283233642578,0.6818086504936218,0.6094458103179932,0.5852369070053101,0.605837881565094,0.7498244047164917,0.5220016837120056,0.4871039092540741,0.6058056950569153,0.421732097864151,0.4491637051105499,0.1561414897441864,0.8222920298576355,0.5310761332511902,0.7000435590744019,0.5479035377502441,0.7439435720443726,0.5568658709526062,0.6789746880531311
"Returning to the homeland after so many triumphs the most bitter disappointment awaited us: we no longer knew where to go. For debts contracted due to the reconstruction of the Odescalchi Theater that had to be paid by the State and for the delays that occurred in the payment, the theater had to be abandoned to the dealer of Prince Odescalchi. [...] The war began from the day that the will and passion of eleven young people founded a stable theater in Rome. In fact, the Odescalchi theater was also called ""theater of the Eleven"", and they placed Luigi Pirandello in charge; Covered and insidious struggle by a society that has grabbed the whole monopoly of theater in Italy: theaters, repertoires, companies. In the face of this war, I [...] remained to fight next to Luigi Pirandello, then always exposed to all the revenge of the opponents, feeling that the cause for which it was fought was holy, and all in favor of us actors for the dignity of ours profession and for the honor of Italian theater. From the contracts that companies made with the Compagnia del Teatro d'Arte in Rome, directed by Luigi Pirandello, it was demanded that alongside the name of the Maestro it would imagine as with the diction of writing, unique and only, mine; [...] A company that in all the nations of Europe had been welcomed with all the honors of the highest theaters, was condemned to turn almost only in the province [...] the only hope of salvation, South America. She had been promised to American impresario that our company would have been alone starting that year, 1926, for Argentina.",0.049742743372917175,0.23153816163539886,0.2435436248779297,0.23573893308639526,0.24232912063598633,0.23697079718112946,0.24227400124073029,0.22620327770709991,0.23710721731185913,0.23572826385498047,0.24686077237129211,0.23489652574062347,0.2274893820285797,0.23346099257469177,0.24348676204681396,0.25554800033569336,0.22170928120613098,0.2695847153663635,0.2602340281009674,0.2353842854499817
